Timestamp,Current,MVoltage,Sl1Voltage,Sl2Voltage,Sl3Voltage,T000007c0681f,T000007c2763a,T000007c0a876,T000007c1a9bf
1484262372.91,-0.0215377807617,3.6084921875,3.65456054687,3.66337304687,3.64875585938,21.187,21.5,21.375,21.812
1484262373.91,-0.139030456543,3.6084765625,3.6545625,3.66337304687,3.64875390625,21.187,21.5,21.375,21.812
1484262374.91,-0.0140991210938,3.60851757813,3.65453320313,3.66336523438,3.6487578125,21.25,21.437,21.375,21.812
1484262375.91,0.0707778930664,3.60849414062,3.65453125,3.66337890625,3.64875,21.25,21.437,21.375,21.812
1484262376.91,0.0522766113281,3.60850585938,3.65455078125,3.66336914062,3.6487578125,21.25,21.375,21.5,21.812
1484262377.86,0.00688171386719,3.6084921875,3.6545625,3.663375,3.64874609375,21.25,21.375,21.5,21.812
1484262378.86,0.031867980957,3.60849023438,3.65455078125,3.6633671875,3.64875585938,21.25,21.5,21.375,21.812
1484262379.86,0.0116500854492,3.60849609375,3.65455078125,3.66337304687,3.64875390625,21.25,21.5,21.375,21.812
1484262380.92,0.00802612304688,3.608515625,3.65451757813,3.66336523438,3.64875585938,21.25,21.5,21.375,21.812
1484262381.92,0.0974807739258,3.60848828125,3.65454882813,3.66338476563,3.64875390625,21.25,21.5,21.375,21.812
1484262382.92,0.0620040893555,3.60848632813,3.6545625,3.663375,3.64875390625,21.25,21.5,21.375,21.812
1484262383.87,0.00497436523438,3.60849023438,3.65453710938,3.66337304687,3.64875390625,21.25,21.5,21.375,21.812
1484262384.87,0.114456176758,3.608515625,3.65456054687,3.66335742188,3.64875390625,21.25,21.437,21.375,21.812
1484262385.92,0.0974807739258,3.60849414062,3.65454882813,3.66337695313,3.64874804688,21.25,21.437,21.375,21.812
1484262386.93,-0.0266876220703,3.60849804687,3.65452929688,3.66336914062,3.64876757813,21.25,21.812,21.375,21.5
1484262387.93,-0.0238265991211,3.60848828125,3.65454492187,3.66337304687,3.64875585938,21.25,21.812,21.375,21.5
1484262388.93,0.0476989746094,3.60849414062,3.65451953125,3.66337109375,3.64875195313,21.375,21.25,21.812,21.5
1484262389.97,-0.0684585571289,3.60850976563,3.654515625,3.66337304687,3.64875195313,21.375,21.25,21.812,21.5
1484262390.93,0.00802612304688,3.60848242188,3.65455078125,3.66336523438,3.64875195313,21.5,21.25,21.812,21.375
1484262391.98,-0.0465240478516,3.60848632813,3.65459765625,3.66336523438,3.64875585938,21.5,21.25,21.812,21.375
1484262392.93,0.0259552001953,3.60849023438,3.654515625,3.66337304687,3.64875195313,21.5,21.375,21.25,21.812
1484262393.93,-0.00475311279297,3.60849804687,3.65455859375,3.66336914062,3.64875195313,21.5,21.375,21.25,21.812
1484262394.94,-0.00933074951172,3.60849414062,3.65458007812,3.66336132813,3.64875195313,21.25,21.5,21.375,21.812
1484262395.94,-0.0455703735352,3.60850585938,3.65453710938,3.66337304687,3.6487578125,21.25,21.5,21.375,21.812
1484262396.94,0.0805053710938,3.6084921875,3.65454101562,3.66336328125,3.64875,21.25,21.5,21.812,21.375
1484262397.89,0.0057373046875,3.6085,3.654546875,3.6633671875,3.6487578125,21.25,21.5,21.812,21.375
